"id","product_code","title","category_id","description","price","discount","is_special","is_newlaunch","is_premium","is_engraving","status","showon_website","welcome_kit","sustain_corporate","event_conference","new_year","long_term","christmas","orion","year_end","corp_employee","get_inspired","created_date","img","add_byuser","best_seller","brand_id","sort_order","occasion_id"
"1917","B2BGifts_R&R_01","Acrylic Trophy with Round Base and Plastic Star","2367",,"825",,"1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","2024-04-21 11:47:43","B2BGifts_R&R_01.jpg",NULL,"1",NULL,,"7"
"1918","B2BGifts_R&R_02","Arcylic Tall Hexagon Award","2367",,"750",,"1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_02.jpg",NULL,"0",NULL,,"7"
"1919","B2BGifts_R&R_03","Acrylic Trophy with Golden Star in Middel","2367",,"675",,"1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","2024-04-21 11:47:43","B2BGifts_R&R_03.webp",NULL,"1",NULL,,"7"
"1920","B2BGifts_R&R_04","Star Acrylic Award","2367",,"525",,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","2024-04-21 11:47:43","B2BGifts_R&R_04.jpg",NULL,NULL,NULL,,NULL
"1921","B2BGifts_R&R_05","Octagon Shaped Arcylic Awards ","2367",,"975",,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","2024-04-21 11:47:43","B2BGifts_R&R_05.jpg",NULL,NULL,NULL,,NULL
"1922","B2BGifts_R&R_06","Star Shape Transparent Arcylic Trophy","2367",,"465",,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","2024-04-21 11:47:43","B2BGifts_R&R_06.jpg",NULL,NULL,NULL,,NULL
"1923","B2BGifts_R&R_07","Square Shape with Silver Star Trophy","2367",,"1163",,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","2024-04-21 11:47:43","B2BGifts_R&R_07.webp",NULL,NULL,NULL,,NULL
"1924","B2BGifts_R&R_08","Acrylic Round Shape with Star Award Trophy","2367",,"825",,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","2024-04-21 11:47:43","B2BGifts_R&R_08.png",NULL,NULL,NULL,,NULL
"1925","B2BGifts_R&R_09","Freestanding Acrylic with Blue Background Award Trophy","2367",,"1050",,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","2024-04-21 11:47:43","B2BGifts_R&R_09.png",NULL,NULL,NULL,,NULL
"1926","B2BGifts_R&R_10","Arcylic Designer Sport Award Trophy","2367",,"675",,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","2024-04-21 11:47:43","B2BGifts_R&R_10.jpg",NULL,NULL,NULL,,NULL
"1927","B2BGifts_R&R_11","Dual Tone Crystal Trophy Green and Blue Crystal Award","2368",,"1050",,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","2024-04-21 11:47:43","B2BGifts_R&R_11.webp",NULL,NULL,NULL,,NULL
"1928","B2BGifts_R&R_12","Transparent Crystal Diamond Shape Trophy","2368",,"1125",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_12.webp",NULL,"0",NULL,,NULL
"1929","B2BGifts_R&R_13","Transparent Crystal Oval Cutting Shape Trophy","2368",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_13.avif",NULL,"0",NULL,,NULL
"1930","B2BGifts_R&R_14","Star inspired crystal trophy ","2368",,"900",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_14.jpg",NULL,"0",NULL,,NULL
"1931","B2BGifts_R&R_15","Gold Star Crystal Rounded Tower Award","2368",,"1125",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_15.jpg",NULL,"0",NULL,,NULL
"1932","B2BGifts_R&R_16","Creative Crystal Blue Globe Ball Staff Award Trophy","2368",,"975",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_16.webp",NULL,"0",NULL,,NULL
"1933","B2BGifts_R&R_17","Crystal Dual Triangel Award Trophy","2368",,"825",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_17.webp",NULL,"0",NULL,,NULL
"1934","B2BGifts_R&R_18","Opal Imperial Crystal Award","2368",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_18.webp",NULL,"0",NULL,,NULL
"1935","B2BGifts_R&R_19","Plain Medal of Silver in 2 inches","2369",,"105",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_19.jpg",NULL,"0",NULL,,NULL
"1936","B2BGifts_R&R_20","Plain Medal of Gold in 2 inches","2369",,"90",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_20.jpg",NULL,"0",NULL,,NULL
"1937","B2BGifts_R&R_21","Wooden Base Shield Mounting Plaque","2369",,"135",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2024-04-21 11:47:43","B2BGifts_R&R_21.jpg",NULL,"0",NULL,,NULL
